M107,M220,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,83.941,85.401,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.66426,0,85.725,83.708,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.82852,0,87.955,82.673,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.96641,0,90,82.393,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.30252,0,110,82.393,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.46678,0,112.426,82.791,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.63103,0,114.599,83.941,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.79529,0,116.292,85.725,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.95955,0,117.327,87.955,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.09744,0,117.607,90,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.43355,0,117.607,110,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.59781,0,117.209,112.426,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.76207,0,116.059,114.599,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.92633,0,114.275,116.292,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.09058,0,112.045,117.327,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.22848,0,110,117.607,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.56458,0,90,117.607,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.72884,0,87.574,117.209,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.8931,0,85.401,116.059,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.05736,0,83.708,114.275,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.22162,0,82.673,112.045,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.35951,0,82.393,110,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,10.69562,0,82.393,90,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,10.85988,0,82.791,87.574,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.02013,0,83.913,85.454,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,84.473,85.589,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,11.17846,0,86.241,84.011,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.33679,0,88.431,83.105,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.44228,0,90,82.929,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.77839,0,110,82.929,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.93672,0,112.337,83.326,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.09505,0,114.411,84.473,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.25338,0,115.989,86.241,0,0,0,No
