M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4899,1,3,0,0,0,0,30,0,75.164,86.871,0,0,0,No
0,0,0,0,0,3675,1,3,0,0,0,0,31.5,0,7,16,0,0,0,No
0,0,0,0,0,1852,1,3,0,0,0,0,32.68088,0,77.488,85.482,0,0,0,No
0,0,0,0,0,83,1,4,0,0,0,0,40.92006,0,80,82.786,0,0,0,No
0,0,0,0,0,94,1,2,0,0,0,0,54.26033,0,125,82.786,0,0,0,No
0,0,0,0,0,50,1,1,0,0,0,0,6.44122,0,133.678,83.184,0,0,0,No
0,0,0,0,0,99,1,0,0,0,0,0,38.6221,0,135.125,82.343,0,0,0,No
0,0,0,0,0,88,1,1,0,0,0,0,47.80298,0,132.129,88.164,0,0,0,No
0,0,0,0,0,75,1,2,0,0,0,0,47.98386,0,141.518,89.488,0,0,0,No
