M107,M220,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,5491,1,35,0,0,0,0,435,0,156.941,171.401,0,0,0,No
0,0,0,0,0,4295,1,16,0,0,0,0,466.5,0,67,0,0,0,0,No
0,0,0,0,0,2741,1,42,0,0,0,0,2.66426,0,137.725,134.708,0,0,0,No
0,0,0,0,0,732,1,41,0,0,0,0,372.82852,0,163.955,82.673,0,0,0,No
0,0,0,0,0,924,1,35,0,0,0,0,278.96641,0,149,181.393,0,0,0,No
0,0,0,0,0,899,1,44,0,0,0,0,4.30252,0,193,156.393,0,0,0,No
0,0,0,0,0,501,1,31,0,0,0,0,404.46678,0,205.426,154.791,0,0,0,No
0,0,0,0,0,0,1,34,0,0,0,0,272.63103,0,193.599,158.941,0,0,0,No
0,0,0,0,0,976,1,13,0,0,0,0,328.79529,0,212.292,174.725,0,0,0,No
0,0,0,0,0,917,1,12,0,0,0,0,460.95955,0,117.327,184.955,0,0,0,No
0,0,0,0,0,616,1,10,0,0,0,0,309.09744,0,210.607,141,0,0,0,No
0,0,0,0,0,608,1,10,0,0,0,0,407.43355,0,178.607,180,0,0,0,No
0,0,0,0,0,538,1,45,0,0,0,0,6.59781,0,179.209,185.426,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes
0,0,0,0,0,795,1,25,0,0,0,0,346.76207,0,205.059,191.599,0,0,0,No
0,0,0,0,0,795,1,21,0,0,0,0,438.92633,0,204.275,186.292,0,0,0,No
0,0,0,0,0,799,1,39,0,0,0,0,366.09058,0,192.045,189.327,0,0,0,No
0,0,0,0,0,975,1,12,0,0,0,0,7.22848,0,186,208.607,0,0,0,No
0,0,0,0,0,695,1,21,0,0,0,0,456.56458,0,165,180.607,0,0,0,No
0,0,0,0,0,567,1,0,0,0,0,0,350.72884,0,161.574,183.209,0,0,0,No
0,0,0,0,0,923,1,29,0,0,0,0,8.8931,0,142.401,205.059,0,0,0,No
0,0,0,0,0,820,1,9,0,0,0,0,319.05736,0,141.708,206.275,0,0,0,No
0,0,0,0,0,777,1,43,0,0,0,0,9.22162,0,156.673,190.045,0,0,0,No
0,0,0,0,0,733,1,44,0,0,0,0,368.35951,0,178.393,172,0,0,0,No
0,0,0,0,0,528,1,47,0,0,0,0,333.69562,0,151.393,90,0,0,0,No
0,0,0,0,0,517,1,0,0,0,0,0,507.85988,0,156.791,164.574,0,0,0,No
0,0,0,0,0,538,1,48,0,0,0,0,311.02013,0,181.913,145.454,0,0,0,No
0,0,0,0,0,5587,1,32,0,0,0,0,313,0,139.473,145.589,0,0,0,No
0,0,0,0,0,2621,1,46,0,0,0,0,435.17846,0,165.241,179.011,0,0,0,No
0,0,0,0,0,974,1,10,0,0,0,0,396.33679,0,88.431,83.105,0,0,0,No
0,0,0,0,0,769,1,43,0,0,0,0,11.44228,0,162,159.929,0,0,0,No
0,0,0,0,0,781,1,29,0,0,0,0,342.77839,0,199,141.929,0,0,0,No
0,0,0,0,0,833,1,24,0,0,0,0,295.93672,0,195.337,136.326,0,0,0,No
0,0,0,0,0,0,1,30,0,0,0,0,13.09505,0,181.411,154.473,0,0,0,No
